Code,Area,Year,waste
E09000001,City of London,2011,36.9
E09000002,Barking and Dagenham,2011,30.0
E09000003,Barnet,2011,33.6
E09000004,Bexley,2011,53.5
E09000005,Brent,2011,36.8
E09000006,Bromley,2011,49.9
E09000007,Camden,2011,33.0
E09000008,Croydon,2011,38.1
E09000009,Ealing,2011,40.8
E09000010,Enfield,2011,35.3
E09000011,Greenwich,2011,39.1
E09000012,Hackney,2011,24.0
E09000013,Hammersmith and Fulham,2011,30.099999999999998
E09000014,Haringey,2011,25.7
E09000015,Harrow,2011,48.199999999999996
E09000016,Havering,2011,35.5
E09000017,Hillingdon,2011,43.4
E09000018,Hounslow,2011,35.4
E09000019,Islington,2011,32.2
E09000020,Kensington and Chelsea,2011,33.7
E09000021,Kingston upon Thames,2011,46.800000000000004
E09000022,Lambeth,2011,27.900000000000002
E09000023,Lewisham,2011,17.2
E09000024,Merton,2011,37.3
E09000025,Newham,2011,22.7
E09000026,Redbridge,2011,32.5
E09000027,Richmond upon Thames,2011,44.7
E09000028,Southwark,2011,27.3
E09000029,Sutton,2011,37.4
E09000030,Tower Hamlets,2011,27.1
E09000031,Waltham Forest,2011,27.1
E09000032,Wandsworth,2011,28.4
E09000033,Westminster,2011,25.1
E09000001,City of London,2012,36.4
E09000002,Barking and Dagenham,2012,26.8
E09000003,Barnet,2012,33.0
E09000004,Bexley,2012,54.300000000000004
E09000005,Brent,2012,42.5
E09000006,Bromley,2012,49.1
E09000007,Camden,2012,30.9
E09000008,Croydon,2012,44.3
E09000009,Ealing,2012,40.6
E09000010,Enfield,2012,38.800000000000004
E09000011,Greenwich,2012,39.900000000000006
E09000012,Hackney,2012,24.3
E09000013,Hammersmith and Fulham,2012,22.7
E09000014,Haringey,2012,31.7
E09000015,Harrow,2012,44.7
E09000016,Havering,2012,34.599999999999994
E09000017,Hillingdon,2012,43.0
E09000018,Hounslow,2012,35.0
E09000019,Islington,2012,31.4
E09000020,Kensington and Chelsea,2012,26.400000000000002
E09000021,Kingston upon Thames,2012,46.300000000000004
E09000022,Lambeth,2012,22.8
E09000023,Lewisham,2012,20.0
E09000024,Merton,2012,38.9
E09000025,Newham,2012,21.0
E09000026,Redbridge,2012,29.4
E09000027,Richmond upon Thames,2012,46.0
E09000028,Southwark,2012,30.4
E09000029,Sutton,2012,36.5
E09000030,Tower Hamlets,2012,27.6
E09000031,Waltham Forest,2012,30.8
E09000032,Wandsworth,2012,23.5
E09000033,Westminster,2012,21.7
E09000001,City of London,2013,38.800000000000004
E09000002,Barking and Dagenham,2013,24.8
E09000003,Barnet,2013,36.4
E09000004,Bexley,2013,55.2
E09000005,Brent,2013,40.8
E09000006,Bromley,2013,49.6
E09000007,Camden,2013,29.299999999999997
E09000008,Croydon,2013,42.199999999999996
E09000009,Ealing,2013,40.2
E09000010,Enfield,2013,39.1
E09000011,Greenwich,2013,38.800000000000004
E09000012,Hackney,2013,25.4
E09000013,Hammersmith and Fulham,2013,20.5
E09000014,Haringey,2013,35.8
E09000015,Harrow,2013,49.2
E09000016,Havering,2013,31.5
E09000017,Hillingdon,2013,43.1
E09000018,Hounslow,2013,35.099999999999994
E09000019,Islington,2013,32.7
E09000020,Kensington and Chelsea,2013,25.4
E09000021,Kingston upon Thames,2013,46.300000000000004
E09000022,Lambeth,2013,21.099999999999998
E09000023,Lewisham,2013,17.7
E09000024,Merton,2013,38.9
E09000025,Newham,2013,17.7
E09000026,Redbridge,2013,29.299999999999997
E09000027,Richmond upon Thames,2013,43.3
E09000028,Southwark,2013,34.300000000000004
E09000029,Sutton,2013,37.1
E09000030,Tower Hamlets,2013,28.000000000000004
E09000031,Waltham Forest,2013,32.6
E09000032,Wandsworth,2013,20.4
E09000033,Westminster,2013,21.099999999999998
E09000001,City of London,2014,34.4
E09000002,Barking and Dagenham,2014,23.400000000000002
E09000003,Barnet,2014,38.0
E09000004,Bexley,2014,54.0
E09000005,Brent,2014,35.199999999999996
E09000006,Bromley,2014,48.0
E09000007,Camden,2014,26.3
E09000008,Croydon,2014,39.900000000000006
E09000009,Ealing,2014,40.1
E09000010,Enfield,2014,38.5
E09000011,Greenwich,2014,34.300000000000004
E09000012,Hackney,2014,25.3
E09000013,Hammersmith and Fulham,2014,20.7
E09000014,Haringey,2014,37.3
E09000015,Harrow,2014,45.1
E09000016,Havering,2014,32.4
E09000017,Hillingdon,2014,43.8
E09000018,Hounslow,2014,34.5
E09000019,Islington,2014,32.800000000000004
E09000020,Kensington and Chelsea,2014,25.3
E09000021,Kingston upon Thames,2014,45.7
E09000022,Lambeth,2014,28.299999999999997
E09000023,Lewisham,2014,17.1
E09000024,Merton,2014,37.5
E09000025,Newham,2014,17.2
E09000026,Redbridge,2014,28.7
E09000027,Richmond upon Thames,2014,41.199999999999996
E09000028,Southwark,2014,34.599999999999994
E09000029,Sutton,2014,37.6
E09000030,Tower Hamlets,2014,28.1
E09000031,Waltham Forest,2014,35.5
E09000032,Wandsworth,2014,20.7
E09000033,Westminster,2014,19.1
E09000001,City of London,2015,30.8
E09000002,Barking and Dagenham,2015,18.9
E09000003,Barnet,2015,36.8
E09000004,Bexley,2015,52.0
E09000005,Brent,2015,35.8
E09000006,Bromley,2015,46.300000000000004
E09000007,Camden,2015,24.8
E09000008,Croydon,2015,37.8
E09000009,Ealing,2015,43.0
E09000010,Enfield,2015,35.9
E09000011,Greenwich,2015,34.8
E09000012,Hackney,2015,24.8
E09000013,Hammersmith and Fulham,2015,22.0
E09000014,Haringey,2015,36.199999999999996
E09000015,Harrow,2015,40.9
E09000016,Havering,2015,31.8
E09000017,Hillingdon,2015,44.1
E09000018,Hounslow,2015,33.800000000000004
E09000019,Islington,2015,29.4
E09000020,Kensington and Chelsea,2015,25.900000000000002
E09000021,Kingston upon Thames,2015,45.800000000000004
E09000022,Lambeth,2015,28.7
E09000023,Lewisham,2015,18.0
E09000024,Merton,2015,34.8
E09000025,Newham,2015,14.7
E09000026,Redbridge,2015,27.700000000000003
E09000027,Richmond upon Thames,2015,40.5
E09000028,Southwark,2015,35.0
E09000029,Sutton,2015,34.699999999999996
E09000030,Tower Hamlets,2015,26.700000000000003
E09000031,Waltham Forest,2015,34.599999999999994
E09000032,Wandsworth,2015,21.099999999999998
E09000033,Westminster,2015,17.299999999999997
E09000001,City of London,2016,28.499999999999996
E09000002,Barking and Dagenham,2016,25.3
E09000003,Barnet,2016,37.4
E09000004,Bexley,2016,52.7
E09000005,Brent,2016,36.4
E09000006,Bromley,2016,46.9
E09000007,Camden,2016,26.6
E09000008,Croydon,2016,38.6
E09000009,Ealing,2016,50.7
E09000010,Enfield,2016,37.2
E09000011,Greenwich,2016,34.9
E09000012,Hackney,2016,27.0
E09000013,Hammersmith and Fulham,2016,23.200000000000003
E09000014,Haringey,2016,35.699999999999996
E09000015,Harrow,2016,39.7
E09000016,Havering,2016,37.3
E09000017,Hillingdon,2016,43.4
E09000018,Hounslow,2016,30.099999999999998
E09000019,Islington,2016,31.6
E09000020,Kensington and Chelsea,2016,25.7
E09000021,Kingston upon Thames,2016,47.0
E09000022,Lambeth,2016,28.799999999999997
E09000023,Lewisham,2016,17.7
E09000024,Merton,2016,35.699999999999996
E09000025,Newham,2016,14.099999999999998
E09000026,Redbridge,2016,26.700000000000003
E09000027,Richmond upon Thames,2016,42.4
E09000028,Southwark,2016,34.0
E09000029,Sutton,2016,36.5
E09000030,Tower Hamlets,2016,27.6
E09000031,Waltham Forest,2016,34.4
E09000032,Wandsworth,2016,21.9
E09000033,Westminster,2016,17.4
E09000001,City of London,2017,29.2365998917163
E09000002,Barking and Dagenham,2017,25.046448413397645
E09000003,Barnet,2017,36.92820746671037
E09000004,Bexley,2017,52.06199749319801
E09000005,Brent,2017,36.53475665504835
E09000006,Bromley,2017,49.98775951796192
E09000007,Camden,2017,30.328873038851388
E09000008,Croydon,2017,37.91590838233481
E09000009,Ealing,2017,48.76105957969671
E09000010,Enfield,2017,35.8734274355399
E09000011,Greenwich,2017,35.07470385758903
E09000012,Hackney,2017,27.390455954240206
E09000013,Hammersmith and Fulham,2017,23.701633380917105
E09000014,Haringey,2017,32.91627857797998
E09000015,Harrow,2017,40.96443315003363
E09000016,Havering,2017,37.025363310532825
E09000017,Hillingdon,2017,39.96245147982157
E09000018,Hounslow,2017,29.763115506851673
E09000019,Islington,2017,29.45976788454421
E09000020,Kensington and Chelsea,2017,26.210843761224687
E09000021,Kingston upon Thames,2017,48.310838580282436
E09000022,Lambeth,2017,29.830906149815274
E09000023,Lewisham,2017,21.823293496442894
E09000024,Merton,2017,36.97291810581817
E09000025,Newham,2017,14.12815713885484
E09000026,Redbridge,2017,23.906444632774505
E09000027,Richmond upon Thames,2017,41.856481436968224
E09000028,Southwark,2017,34.72759324036216
E09000029,Sutton,2017,50.04881450488145
E09000030,Tower Hamlets,2017,26.449413171049773
E09000031,Waltham Forest,2017,32.481245372930076
E09000032,Wandsworth,2017,22.085339995442375
E09000033,Westminster,2017,18.846206550038826
